Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
hsa-miR-890 ,4.5849582,320.25,251.6101463,273.943195,102.7162025,105.63549,60.74347275,213.1935025,115.6306975,866.63865,228.5,51.54243625,652.75,362.5519225,560.0743475,66.36508225,151.5793188,241.406205,257.413285
hsa-miR-296-5p ,4.73104945,59.75,56.5470965,30.615196,70.7379085,2.7253037,59.6162605,-22.6561832,52.81631768,151.8245763,683.75,-2.726793275,52.75,65.26977,-5.37202475,-16.95403125,86.4998275,70.328598,51.80694925
hsa-miR-553 ,5.008977,75.25,16.24901943,-0.75380325,160.6036575,-4.6284011,23.17818275,-0.509344,57.727105,612.2372525,450.25,20.64930125,15.25,33.680489,41.74737925,-9.045863975,56.77998225,194.5604075,35.25008025
ebv-miR-BART9 ,5.01940905,23.5,-8.69421425,-40.4172785,-93.4231025,-70.07738025,-63.031473,-63.917774,-33.64723425,-26.00111213,-13,0.760377375,-7.5,7.1000156,-20.42274725,-7.77977535,-33.050341,-36.249242,18.6618538
hsa-miR-876-3p ,5.19717585,11.5,20.71954045,-6.632480525,26.01125825,-53.91989,10.87204365,-6.111576375,27.59761075,199.095755,441,13.75211613,-2.25,4.414960875,-24.22197188,-32.18780775,145.3094563,-50.56244625,-0.04348195
hsa-miRPlus-F1077 ,5.378914725,7,-1.57909,-11.91521795,-62.44476725,-28.5628833,-51.16947675,-34.890646,-41.57439575,53.76789525,24.5,17.6698535,27.5,-26.014473,-10.75193408,-54.3633035,-27.54524625,-16.85451138,-9.1154557
hsa-miR-302c* ,5.6557635,211.25,69.329849,52.2428055,129.4230125,14.43005938,33.259567,17.46741098,36.06117425,312.385925,8.75,16.782998,67.75,78.61713075,67.1499185,-17.68965638,47.5041585,85.19538875,68.6784245
hsa-miR-627 ,5.705701875,18.25,32.48695775,24.61457805,88.32119375,-43.13201525,47.07863975,-36.44533675,8.93293945,299.734475,410.25,13.33425425,5.75,206.28022,103.902795,-28.9347685,29.29208175,17.89810556,181.8073575
kshv-miR-K12-1 ,5.75105375,68.75,165.3207175,105.7141425,4.70424625,1.19841575,1.20438725,30.5480305,54.99965875,362.18967,-2.25,19.53759925,525.25,94.2449275,-1.398532935,8.5251428,64.86891175,49.96055875,87.45174875
hsa-miR-23a* ,6.01772555,204,75.69578475,100.899435,73.5339745,-4.059188875,8.5521262,13.23331643,40.4737605,105.413214,36,27.5576085,179.25,57.4417555,58.21046925,1.1090641,97.336735,77.56938275,52.8863105
